EmployeeId,BusinessTravel,EducationField,JobRole,MaritalStatus,OverTime,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,Age,JobSatisfaction,EnvironmentSatisfaction,NumCompaniesWorked,YearsSinceLastPromotion,Attrition,Attrition (Actual),PredictedAttrition,Probability
74,Travel_Rarely,Life Sciences,Research Scientist,Married,No,2177,7,1,0,59,4,3,3,0,0,0,0,0.1466
75,Travel_Rarely,Life Sciences,Manager,Married,Yes,17875,29,1,0,58,4,4,4,0,0,0,0,0.4964
76,Travel_Rarely,Medical,Laboratory Technician,Divorced,No,3978,4,2,2,31,3,1,8,2,0,0,0,0.0255
77,Non-Travel,Medical,Manufacturing Director,Divorced,No,5265,11,5,2,42,3,3,2,0,0,0,0,0.0091
78,Travel_Rarely,Other,Sales Executive,Married,No,4805,9,8,7,45,2,4,0,3,0,0,0,0.1089
79,Travel_Rarely,Medical,Sales Executive,Divorced,Yes,6583,8,5,4,31,4,3,2,1,0,0,0,0.0549
80,Travel_Rarely,Life Sciences,Research Scientist,Divorced,No,5433,11,11,9,34,2,4,1,7,0,0,0,0.1929
82,Travel_Rarely,Medical,Research Scientist,Married,No,2819,5,3,2,23,1,1,2,0,0,0,0,0.0352
83,Travel_Rarely,Life Sciences,Laboratory Technician,Single,No,2105,7,2,0,47,3,2,4,2,0,0,0,0.0502
84,Travel_Rarely,Marketing,Sales Executive,Married,No,5940,16,6,5,54,1,4,2,0,0,0,0,0.0468
85,Travel_Rarely,Technical Degree,Research Scientist,Married,No,3376,10,10,8,41,3,2,1,0,0,0,0,0.0359
86,Travel_Rarely,Medical,Healthcare Representative,Divorced,Yes,10851,24,7,7,45,1,2,2,0,0,0,0,0.1532
87,Travel_Rarely,Marketing,Sales Executive,Married,No,6652,8,6,0,36,4,2,4,0,0,0,0,0.2806
88,Non-Travel,Medical,Sales Executive,Single,No,8865,23,19,8,45,4,4,6,12,0,0,0,0.3859
89,Travel_Rarely,Life Sciences,Sales Executive,Married,No,7314,14,8,7,46,2,3,5,0,0,0,0,0.0728
90,Travel_Rarely,Marketing,Sales Executive,Divorced,Yes,5087,14,0,0,42,4,2,3,0,0,0,0,0.3665
91,Travel_Rarely,Medical,Laboratory Technician,Married,No,3986,15,15,13,34,4,2,1,4,0,0,0,0.4796
92,Travel_Rarely,Medical,Research Scientist,Married,Yes,4284,16,5,4,37,1,4,5,0,0,0,0,0.4992
93,Travel_Rarely,Life Sciences,Sales Executive,Married,No,10239,24,1,0,55,4,1,3,1,0,0,0,0.2063
94,Non-Travel,Other,Research Scientist,Married,Yes,2814,4,4,3,22,3,2,1,1,0,0,0,0.0918
95,Travel_Frequently,Life Sciences,Manufacturing Director,Married,No,9547,10,10,9,34,3,4,1,1,0,0,0,0.0138
96,Travel_Rarely,Life Sciences,Healthcare Representative,Married,No,5373,6,5,2,29,1,1,0,0,0,0,0,0.0043
97,Travel_Rarely,Life Sciences,Research Scientist,Married,No,4900,13,12,8,57,3,2,0,2,0,0,0,0.066
98,Travel_Rarely,Life Sciences,Sales Executive,Single,Yes,10448,15,2,2,53,1,1,6,2,0,0,1,0.9498
99,Travel_Rarely,Medical,Research Scientist,Married,No,2622,7,3,1,33,2,3,6,1,0,0,1,0.5871
100,Non-Travel,Life Sciences,Laboratory Technician,Divorced,No,2314,4,3,2,32,4,4,0,0,0,0,0,0.0013
103,Travel_Rarely,Technical Degree,Research Scientist,Divorced,No,3537,8,4,2,55,2,1,5,1,0,0,0,0.0391
104,Travel_Frequently,Life Sciences,Sales Executive,Single,No,9981,7,7,7,27,3,4,1,0,0,0,0,0.0159
105,Travel_Rarely,Technical Degree,Sales Executive,Divorced,No,13225,25,19,8,46,1,1,2,2,0,0,0,0.0295
106,Travel_Rarely,Life Sciences,Laboratory Technician,Divorced,No,2741,7,7,7,36,3,3,1,1,0,0,0,0.0179
108,Travel_Frequently,Life Sciences,Research Scientist,Married,No,4735,19,13,9,38,4,4,7,2,0,0,0,0.0453
109,Travel_Frequently,Life Sciences,Healthcare Representative,Divorced,No,7725,15,13,7,33,4,3,3,4,0,0,0,0.1717
111,Travel_Rarely,Medical,Research Scientist,Single,No,2279,7,7,3,27,2,4,1,0,0,0,0,0.0308
112,Travel_Rarely,Life Sciences,Manufacturing Director,Married,No,4775,4,2,2,22,4,4,6,2,0,0,0,0.024
114,Travel_Frequently,Technical Degree,Healthcare Representative,Married,No,4523,7,6,4,42,4,4,0,0,0,0,0,0.0029
115,Travel_Frequently,Life Sciences,Research Scientist,Divorced,No,2720,10,10,8,29,4,2,1,2,0,0,0,0.0401
116,Non-Travel,Life Sciences,Laboratory Technician,Married,Yes,6472,9,9,8,39,4,4,1,5,0,0,0,0.0793
117,Travel_Rarely,Medical,Laboratory Technician,Married,No,5363,10,9,0,35,4,4,0,0,0,0,0,0.1041
118,Travel_Rarely,Life Sciences,Healthcare Representative,Married,No,5294,10,7,7,30,3,3,3,1,0,0,0,0.0568
119,Non-Travel,Medical,Sales Executive,Divorced,No,8834,9,9,7,37,2,1,1,7,0,0,0,0.1611
120,Travel_Rarely,Medical,Laboratory Technician,Divorced,No,3069,11,10,7,39,3,3,0,0,0,0,0,0.0045
122,Travel_Rarely,Technical Degree,Sales Executive,Married,No,6929,10,8,7,31,4,2,4,7,0,0,1,0.6251
123,Travel_Rarely,Life Sciences,Sales Representative,Single,No,2642,1,1,0,29,3,3,1,0,0,0,0,0.0237
124,Travel_Rarely,Medical,Laboratory Technician,Married,Yes,2408,1,1,0,28,2,3,1,0,0,0,0,0.2792
125,Travel_Rarely,Medical,Laboratory Technician,Single,No,2867,8,7,6,26,1,3,0,7,0,0,0,0.0549
127,Non-Travel,Medical,Healthcare Representative,Married,Yes,9884,10,4,3,35,1,3,2,2,0,0,0,0.4592
128,Travel_Rarely,Life Sciences,Research Director,Married,No,19740,25,8,7,43,4,3,3,0,0,0,0,0.0479
129,Travel_Rarely,Life Sciences,Research Scientist,Single,No,2500,4,3,2,33,4,3,0,0,0,0,0,0.0033
130,Travel_Rarely,Life Sciences,Healthcare Representative,Married,Yes,7879,9,8,7,44,4,3,1,6,0,0,0,0.0957
131,Travel_Rarely,Life Sciences,Sales Executive,Divorced,No,8938,14,5,4,41,2,3,2,0,0,0,0,0.0221
132,Travel_Frequently,Medical,Healthcare Representative,Single,No,5399,12,4,3,45,3,2,4,0,0,0,0,0.0071
133,Travel_Rarely,Life Sciences,Sales Executive,Divorced,Yes,6694,8,1,0,37,4,4,2,0,0,0,0,0.1283
135,Travel_Rarely,Life Sciences,Research Scientist,Married,No,3201,6,5,4,28,2,1,0,0,0,0,0,0.0106
136,Travel_Frequently,Life Sciences,Manufacturing Director,Divorced,No,8793,9,9,7,27,1,4,1,1,0,0,0,0.0054
137,Travel_Rarely,Marketing,Sales Executive,Divorced,No,6334,9,1,0,37,3,4,4,0,0,0,0,0.0724
138,Travel_Rarely,Life Sciences,Research Scientist,Married,No,2539,4,4,2,27,3,4,1,2,0,0,0,0.0917
139,Travel_Frequently,Marketing,Sales Representative,Divorced,No,2793,13,9,8,37,4,1,4,5,0,0,0,0.4169
140,Travel_Rarely,Medical,Healthcare Representative,Single,No,6812,10,10,8,31,1,3,1,1,0,0,0,0.0147
141,Travel_Rarely,Life Sciences,Research Director,Single,No,18265,25,1,0,48,4,4,6,0,0,0,0,0.0117
142,Travel_Rarely,Other,Manufacturing Director,Married,No,5228,10,9,5,36,2,3,0,0,0,0,0,0.0076
143,Travel_Rarely,Life Sciences,Manufacturing Director,Married,No,6474,14,14,11,37,4,4,1,3,0,0,0,0.055
144,Travel_Rarely,Life Sciences,Healthcare Representative,Married,Yes,4035,4,3,2,55,3,4,0,1,0,0,0,0.0208
145,Travel_Frequently,Life Sciences,Healthcare Representative,Divorced,No,5968,9,9,8,33,3,4,1,2,0,0,0,0.0271
146,Travel_Rarely,Life Sciences,Sales Executive,Single,No,8686,12,8,7,38,4,1,4,0,0,0,0,0.0795
147,Travel_Rarely,Life Sciences,Sales Executive,Divorced,No,4403,8,5,3,32,4,2,2,0,0,0,0,0.0221
148,Travel_Rarely,Other,Research Scientist,Married,No,3312,6,3,2,32,4,2,3,0,0,0,0,0.0576
149,Travel_Rarely,Other,Research Scientist,Single,No,3660,10,8,7,28,3,3,3,1,0,0,0,0.0509
150,Travel_Frequently,Medical,Research Scientist,Single,No,4739,18,3,2,43,3,2,4,1,0,0,0,0.0251
151,Travel_Rarely,Life Sciences,Sales Executive,Divorced,No,8620,10,10,4,29,3,3,1,0,0,0,0,0.0197
152,Travel_Rarely,Medical,Research Scientist,Married,Yes,3579,12,11,7,30,2,4,0,5,0,0,0,0.0723
153,Non-Travel,Life Sciences,Manager,Single,No,17444,10,10,0,33,3,4,1,6,0,0,0,0.1727
154,Travel_Rarely,Life Sciences,Manufacturing Director,Divorced,No,4765,4,1,0,43,2,1,4,0,0,0,0,0.0207
155,Travel_Frequently,Medical,Research Director,Married,Yes,13191,20,1,0,42,1,1,3,0,0,0,0,0.4406
156,Travel_Rarely,Medical,Laboratory Technician,Married,No,3452,17,5,3,37,1,3,6,0,0,0,0,0.0297
157,Non-Travel,Life Sciences,Healthcare Representative,Divorced,No,6306,13,13,9,56,3,3,1,1,0,0,0,0.0101
158,Travel_Frequently,Life Sciences,Research Scientist,Married,No,4774,8,7,3,27,1,4,0,7,0,0,0,0.1003
159,Travel_Rarely,Medical,Human Resources,Married,Yes,2148,6,5,4,26,2,4,0,1,0,0,0,0.0336
160,Travel_Frequently,Medical,Sales Representative,Married,No,2400,3,2,1,24,4,4,0,2,0,0,0,0.2656
161,Non-Travel,Medical,Research Scientist,Married,Yes,4449,15,13,7,37,3,2,3,10,0,0,0,0.3189
162,Travel_Rarely,Marketing,Sales Executive,Married,Yes,9602,17,3,0,37,3,4,4,1,0,0,1,0.5693
163,Travel_Frequently,Medical,Research Scientist,Divorced,No,5605,20,20,13,40,2,2,1,2,0,0,0,0.0833
164,Travel_Rarely,Medical,Research Scientist,Married,Yes,2932,6,5,2,34,4,4,0,1,0,0,0,0.0658
166,Travel_Rarely,Medical,Sales Executive,Single,No,6125,10,10,6,34,1,3,1,9,0,0,0,0.3092
167,Travel_Rarely,Medical,Sales Representative,Single,No,1200,0,0,0,18,3,4,1,0,0,0,0,0.0472
168,Travel_Rarely,Life Sciences,Manager,Single,No,16015,22,22,4,41,2,4,1,0,0,0,0,0.0112
169,Travel_Frequently,Marketing,Sales Executive,Married,No,4768,11,1,0,44,3,1,7,0,0,0,0,0.0708
170,Travel_Rarely,Marketing,Sales Executive,Married,No,6825,10,9,2,42,2,3,0,4,0,0,1,0.7261
171,Travel_Rarely,Medical,Healthcare Representative,Single,No,13734,21,7,0,51,2,4,3,1,0,0,0,0.1122
173,Non-Travel,Technical Degree,Research Scientist,Married,No,2936,10,6,3,42,3,3,3,3,0,0,0,0.1112
174,Travel_Rarely,Life Sciences,Manager,Divorced,No,11557,10,5,1,31,4,3,9,0,0,0,0,0.0394
175,Travel_Frequently,Life Sciences,Manufacturing Director,Married,No,4148,4,4,3,31,1,3,1,0,0,0,0,0.0045
177,Travel_Rarely,Life Sciences,Research Scientist,Married,No,2543,6,2,2,36,3,4,4,2,0,0,0,0.0612
178,Travel_Rarely,Life Sciences,Laboratory Technician,Divorced,No,2207,4,4,2,28,3,1,1,2,0,0,0,0.0235
179,Travel_Rarely,Other,Manufacturing Director,Married,No,9957,7,6,2,30,1,3,0,0,0,0,0,0.0062
180,Travel_Rarely,Marketing,Sales Representative,Married,No,2014,2,2,2,35,4,4,1,2,0,0,0,0.1843
181,Travel_Rarely,Medical,Manufacturing Director,Single,No,10512,25,9,4,59,4,4,6,5,0,0,0,0.1609
182,Non-Travel,Life Sciences,Healthcare Representative,Married,No,10920,13,6,5,39,3,3,3,0,0,0,0,0.019
183,Travel_Rarely,Medical,Research Scientist,Single,No,3445,6,6,4,27,4,3,1,1,0,0,0,0.0637
184,Travel_Frequently,Life Sciences,Sales Executive,Single,No,4554,10,10,9,29,4,2,1,0,0,0,0,0.0159
186,Travel_Rarely,Technical Degree,Research Scientist,Single,No,4485,10,8,7,36,2,3,4,7,0,0,0,0.3784
187,Travel_Rarely,Technical Degree,Research Scientist,Divorced,No,3204,8,3,2,30,1,4,5,2,0,0,0,0.0514
188,Travel_Rarely,Marketing,Sales Executive,Married,No,6712,8,8,7,34,3,4,1,1,0,0,0,0.112
189,Travel_Rarely,Technical Degree,Research Director,Divorced,Yes,12808,9,9,8,27,4,3,1,0,0,0,0,0.0426
190,Travel_Rarely,Life Sciences,Healthcare Representative,Married,No,9985,10,1,0,43,1,3,8,0,0,0,0,0.0751
191,Travel_Rarely,Life Sciences,Research Director,Divorced,Yes,11510,12,11,9,38,4,3,0,2,0,0,0,0.0205
192,Travel_Rarely,Medical,Sales Executive,Married,No,7644,10,9,4,36,4,1,0,3,0,0,0,0.1608
193,Travel_Frequently,Medical,Manufacturing Director,Single,No,5042,10,9,8,39,3,1,0,3,0,0,0,0.0794
194,Travel_Frequently,Life Sciences,Sales Representative,Married,No,2791,3,2,2,31,4,3,0,2,0,0,0,0.0131
195,Travel_Rarely,Marketing,Sales Executive,Divorced,No,5304,10,8,7,30,4,3,7,7,0,0,0,0.2993
196,Travel_Rarely,Medical,Sales Executive,Married,Yes,13320,23,12,11,44,4,4,3,11,0,0,0,0.3388
197,Travel_Rarely,Medical,Laboratory Technician,Married,No,2500,5,4,2,23,1,2,1,0,0,0,0,0.0319
198,Travel_Rarely,Marketing,Sales Executive,Married,No,4393,14,5,4,41,2,3,5,1,0,0,0,0.131
200,Non-Travel,Life Sciences,Healthcare Representative,Married,No,10748,25,23,4,45,3,3,3,14,0,0,0,0.339
201,Travel_Rarely,Medical,Sales Executive,Married,No,5473,9,8,1,40,1,1,0,7,0,0,1,0.8029
202,Travel_Rarely,Medical,Research Scientist,Single,Yes,2436,6,4,2,44,4,2,6,1,0,0,0,0.4225
203,Travel_Rarely,Life Sciences,Research Scientist,Married,Yes,2356,8,6,2,31,4,4,3,0,0,0,0,0.2593
205,Travel_Rarely,Life Sciences,Laboratory Technician,Single,No,2450,19,2,2,53,4,4,2,2,0,0,0,0.0222
206,Travel_Rarely,Technical Degree,Research Scientist,Married,No,3580,7,4,2,49,1,3,2,0,0,0,0,0.0459
207,Travel_Rarely,Life Sciences,Research Scientist,Divorced,Yes,4615,19,16,7,46,1,4,8,1,0,0,0,0.2026
208,Travel_Rarely,Medical,Research Scientist,Married,Yes,3929,7,4,2,31,4,3,8,0,0,0,0,0.3929
209,Travel_Frequently,Medical,Healthcare Representative,Married,Yes,11245,32,30,13,50,3,2,2,12,0,0,0,0.0589
210,Travel_Rarely,Medical,Research Director,Married,Yes,19701,32,9,5,58,1,4,3,1,0,0,1,0.6253
211,Non-Travel,Marketing,Sales Executive,Single,No,4568,10,9,7,34,3,2,0,8,0,0,0,0.3357
212,Travel_Rarely,Medical,Sales Executive,Single,No,4684,5,5,2,26,4,3,1,1,0,0,0,0.1109
213,Travel_Frequently,Medical,Research Scientist,Married,No,2194,5,3,2,35,1,2,4,1,0,0,0,0.0163
214,Travel_Rarely,Life Sciences,Research Scientist,Divorced,Yes,3298,7,6,5,32,2,1,0,0,0,0,0,0.0105
215,Travel_Rarely,Life Sciences,Laboratory Technician,Single,No,4230,6,5,3,35,3,4,0,4,0,0,0,0.1397
216,Travel_Rarely,Life Sciences,Research Scientist,Single,Yes,2994,1,1,1,19,4,2,1,0,0,0,0,0.1336
217,Travel_Rarely,Medical,Sales Executive,Single,No,8463,6,5,3,28,1,4,0,1,0,0,0,0.0287
219,Travel_Frequently,Life Sciences,Healthcare Representative,Married,No,5562,12,5,2,43,4,4,4,2,0,0,0,0.0283
220,Travel_Rarely,Medical,Laboratory Technician,Divorced,No,3907,6,6,2,24,1,2,1,1,0,0,0,0.014
221,Travel_Rarely,Medical,Healthcare Representative,Divorced,No,5731,9,6,3,37,4,3,7,1,0,0,0,0.0407
222,Travel_Rarely,Other,Research Director,Married,No,16413,27,4,2,49,2,1,3,1,0,0,0,0.1059
223,Travel_Rarely,Life Sciences,Manufacturing Director,Married,No,6553,14,1,0,38,3,4,9,0,0,0,0,0.0705
224,Travel_Rarely,Human Resources,Human Resources,Married,Yes,6347,12,11,7,30,4,3,0,4,0,0,0,0.0341
225,Travel_Rarely,Marketing,Sales Representative,Married,Yes,2306,13,7,5,53,3,2,2,4,0,0,0,0.1211
226,Travel_Rarely,Life Sciences,Sales Executive,Married,No,4907,20,20,6,42,3,2,1,11,0,0,1,0.6194
227,Travel_Frequently,Medical,Research Scientist,Divorced,No,2083,1,1,0,30,3,3,1,0,0,0,0,0.1525
228,Travel_Frequently,Life Sciences,Research Scientist,Married,No,5003,10,10,7,31,1,4,1,8,0,0,0,0.1591
230,Travel_Rarely,Medical,Research Director,Single,No,16598,35,9,8,53,2,4,4,8,0,0,0,0.3323
231,Travel_Rarely,Life Sciences,Healthcare Representative,Divorced,No,6513,12,5,3,40,4,3,4,0,0,0,0,0.0118
232,Travel_Rarely,Life Sciences,Research Scientist,Married,No,5878,12,7,5,32,2,4,3,2,0,0,0,0.1353
233,Travel_Rarely,Marketing,Sales Representative,Divorced,No,2297,2,2,2,29,2,4,1,2,0,0,0,0.1484
235,Travel_Frequently,Life Sciences,Research Scientist,Single,No,2553,6,5,3,34,4,3,1,1,0,0,0,0.0153
236,Travel_Rarely,Medical,Human Resources,Divorced,No,4936,6,5,4,28,4,2,1,0,0,0,0,0.0161
237,Travel_Rarely,Marketing,Manager,Married,Yes,16064,22,17,9,43,4,4,5,1,0,0,0,0.2609
238,Non-Travel,Marketing,Sales Executive,Married,No,4978,4,1,0,47,2,3,7,0,0,0,0,0.1108
239,Travel_Rarely,Medical,Sales Executive,Married,No,6502,7,5,1,37,4,3,4,0,0,0,0,0.3959
240,Travel_Rarely,Life Sciences,Human Resources,Single,No,5985,10,2,2,44,3,1,4,0,0,0,0,0.0157
241,Non-Travel,Technical Degree,Research Scientist,Divorced,No,2029,5,5,0,34,3,1,1,0,0,0,0,0.0542
242,Travel_Frequently,Other,Research Scientist,Married,Yes,5747,16,15,11,34,4,3,1,6,0,0,0,0.0615
243,Non-Travel,Technical Degree,Research Scientist,Married,No,5467,16,8,7,47,2,3,8,1,0,0,0,0.0499
244,Travel_Rarely,Life Sciences,Sales Executive,Single,No,5253,7,7,7,28,4,2,1,0,0,0,0,0.0327
245,Travel_Rarely,Marketing,Sales Executive,Married,No,8396,8,7,5,40,1,3,1,7,0,0,0,0.4715
246,Travel_Rarely,Life Sciences,Sales Executive,Married,No,6500,6,3,2,34,1,3,5,1,0,0,0,0.0255
247,Travel_Rarely,Medical,Healthcare Representative,Single,No,5933,10,5,3,44,2,4,9,2,0,0,0,0.0692
248,Travel_Rarely,Medical,Research Scientist,Single,No,3424,6,4,1,25,1,1,7,0,0,0,0,0.0972
250,Travel_Rarely,Life Sciences,Manager,Married,No,19566,33,29,10,60,1,1,5,11,0,0,0,0.2242
251,Travel_Rarely,Marketing,Sales Executive,Married,No,9204,7,4,3,32,4,4,4,0,0,0,0,0.0693
252,Travel_Rarely,Marketing,Sales Executive,Single,Yes,9854,6,2,2,28,3,4,3,2,0,0,1,0.7453
253,Travel_Rarely,Other,Research Scientist,Single,No,4678,8,6,1,36,4,2,2,0,0,0,0,0.0479
254,Travel_Rarely,Life Sciences,Human Resources,Married,No,9756,9,5,3,45,3,3,4,0,0,0,0,0.0333
255,Non-Travel,Medical,Laboratory Technician,Single,No,4025,10,8,7,32,3,4,9,7,0,0,0,0.1159
256,Travel_Rarely,Human Resources,Manager,Married,No,16799,21,20,9,42,1,3,0,0,0,0,0,0.0077
257,Travel_Rarely,Life Sciences,Sales Executive,Divorced,Yes,10368,13,10,3,46,4,3,4,0,0,0,0,0.1538
259,Travel_Rarely,Other,Research Scientist,Divorced,No,3902,7,2,2,39,4,4,8,2,0,0,0,0.0545
261,Travel_Rarely,Medical,Sales Executive,Single,No,5869,8,5,4,29,3,3,9,1,0,0,0,0.1062
